"vehicle_id","test_date","test_mileage","postcode_area","make","colour","cylinder_capacity"
607837791,2023-04-12,10541,"GL","PORSCHE","BLACK",3996
205799021,2023-11-06,10558,"TA","TOYOTA","BLUE",998
1286478176,2023-02-23,10568,"TN","MORGAN","RED",1999
615771215,2023-03-13,10629,"CT","DACIA","BLUE",1598
40561787,2023-03-17,10647,"GL","HONDA","SILVER",1318
437330813,2023-04-20,10665,"CT","PEUGEOT","WHITE",1200
139165813,2023-11-21,10704,"TN","TOYOTA","RED",998
937608819,2023-11-01,10783,"CV","TOYOTA","SILVER",1797
502212823,2023-10-19,10841,"NG","VOLKSWAGEN","SILVER",999
1088047131,2023-05-30,10949,"LE","VOLKSWAGEN","BLUE",1968
1463829833,2023-06-26,11170,"OL","KIA","WHITE",1248
1256441089,2023-06-05,11189,"WD","SKODA","GREY",999
474078367,2023-11-24,11312,"AB","ADRIA","WHITE",2287
941905027,2023-04-10,11377,"EH","MERCEDES-BENZ","GREY",1991
6027731,2023-06-01,11384,"DL","SUZUKI","WHITE",1242
458393907,2023-11-07,11428,"NW","MERCEDES-BENZ","BLACK",2999
495166443,2023-02-07,11468,"CV","FORD","WHITE",998
1127141157,2023-12-29,11589,"SS","FIAT","WHITE",2287
1351637572,2023-03-17,11738,"LS","FORD","WHITE",1299
1443435323,2023-12-13,11974,"ML","VOLKSWAGEN","WHITE",999
1459231221,2023-08-17,12323,"CF","FIAT","BLUE",1242
841971521,2023-03-13,12392,"N","VOLKSWAGEN","GREY",1395
192216259,2023-09-21,12413,"CW","VAUXHALL","GREY",1560
572324509,2023-05-31,12567,"HG","FIAT","WHITE",1242
840234613,2023-07-20,12572,"IG","AUDI","BLACK",1984
1136833387,2023-06-15,12691,"BN","FORD","SILVER",1596
435172187,2023-05-30,12709,"BS","VOLKSWAGEN","WHITE",999
861497635,2023-12-11,12734,"S","RENAULT","WHITE",1995
982201712,2023-02-15,12737,"HU","HYUNDAI","SILVER",1248
897018699,2023-06-02,12908,"EN","TOYOTA","GREY",1798
380894889,2023-11-13,12930,"CM","FIAT","WHITE",1242
1340650559,2023-06-27,12964,"EN","HONDA","BLACK",988
789271235,2023-11-09,13111,"NG","HONDA","GREY",1318
274415127,2023-03-17,13167,"TN","TOYOTA","YELLOW",998
1266753278,2023-07-11,13324,"CW","CHEVROLET GMC","PURPLE",5665
5346971,2023-10-19,13333,"E","LAMBORGHINI","YELLOW",5204
1367590355,2023-06-26,13340,"NR","MINI","BLACK",1499
811346413,2023-08-02,13391,"NW","VOLKSWAGEN","BLACK",999
999723247,2023-11-22,13396,"S","VOLVO","WHITE",1560
1044529533,2023-11-13,13422,"ME","CITROEN","BLUE",1499
191736187,2023-09-18,13428,"DE","MAZDA","RED",1999
1040441780,2023-02-21,13453,"N","MERCEDES-BENZ","BLUE",2148
933418192,2023-02-06,13558,"SS","BMW","GREY",1293
1455372316,2023-07-25,13562,"SE","MERCEDES-BENZ","BLACK",1498
921441927,2023-03-04,13714,"ST","RENAULT","BLACK",1198
342702689,2023-07-14,13782,"NE","MINI","BLACK",1499
535012997,2023-08-24,13818,"S","DACIA","BLUE",898
1275725954,2023-08-29,13832,"BN","VOLKSWAGEN","BLUE",1600
942221909,2023-03-24,13875,"EH","HYUNDAI","GREY",1248
1059602395,2023-09-18,13967,"HA","MERCEDES-BENZ","BLACK",1991
1030217683,2023-05-26,14003,"BL","VOLKSWAGEN","BEIGE",1968
996404571,2023-08-22,14003,"TR","SEAT","BLUE",999
1297080963,2023-03-09,14020,"LN","YAMAHA","BLACK",847
558270847,2023-03-30,14026,"SL","SEAT","WHITE",999
696164281,2023-01-24,14303,"PE","HYUNDAI","WHITE",998
340025653,2023-06-25,14351,"DY","BMW","BLACK",999
573999335,2023-03-31,14352,"KT","HYUNDAI","GREY",1591
285740993,2023-06-06,14382,"ME","RENAULT","RED",1333
1159040837,2023-09-15,14496,"OX","FORD","WHITE",998
217749081,2023-06-13,14517,"TA","HONDA","BLUE",1498
82683523,2023-10-12,14589,"SK","MERCEDES-BENZ","BLACK",1461
766849994,2023-12-01,14671,"CH","FIAT","GREY",2297
482598110,2023-04-24,14699,"CA","HARLEY-DAVIDSON","BLUE",1450
272713437,2023-01-18,14818,"SK","FORD","BLUE",999
1147804337,2023-03-20,14832,"NR","HONDA","RED",1997
151807079,2023-03-24,14884,"DE","PEUGEOT","WHITE",998
296132877,2023-04-28,15009,"BD","FORD","GREY",999
381514479,2023-07-31,15019,"BN","MINI","BLUE",1499
1351234574,2023-11-28,15167,"SE","VAUXHALL","SILVER",1229
1114023207,2023-12-16,15216,"NW","NISSAN","BRONZE",1198
421250073,2023-01-10,15233,"BS","PEUGEOT","YELLOW",1200
220840299,2023-09-05,15250,"AL","RENAULT","ORANGE",898
1341975210,2023-08-26,15259,"WS","BMW","MULTI-COLOUR",999
608676869,2023-08-11,15361,"WN","VOLKSWAGEN","WHITE",999
1296605191,2023-09-08,15469,"DN","TOYOTA","RED",998
905355251,2023-02-10,15500,"EH","MG","BLUE",999
1371303161,2023-04-12,15505,"TQ","SEAT","GREY",1498
1409047445,2023-10-18,15529,"DH","KIA","WHITE",998
1322571603,2023-09-04,15591,"LS","VOLKSWAGEN","WHITE",999
349649546,2023-06-19,15661,"TR","ROYAL ENFIELD","BLUE",499
1215489965,2023-02-08,15666,"KY","MERCEDES-BENZ","GREY",1950
354730091,2023-10-17,15735,"NN","FORD","BLUE",999
875789056,2023-09-05,15798,"L","HONDA","YELLOW",599
821456271,2023-10-06,15813,"NE","AUDI","WHITE",1498
1004517183,2023-08-03,15854,"M","JAGUAR","RED",1999
1040842165,2023-08-14,15855,"CV","FORD","WHITE",999
305728379,2023-01-27,15878,"YO","VAUXHALL","BLACK",1229
396806771,2023-09-14,15884,"BS","DACIA","SILVER",1598
554740161,2023-12-12,15899,"WD","VAUXHALL","GREY",1199
206390415,2023-11-20,16038,"DY","NISSAN","GREY",1332
828743885,2023-08-22,16120,"BH","HONDA","GREY",1318
1131162361,2023-11-02,16172,"CB","MERCEDES-BENZ","SILVER",1332
1292295627,2023-10-17,16236,"DT","VAUXHALL","GREY",1199
1106474343,2023-03-20,16251,"DH","HONDA","WHITE",1318
680713729,2023-06-28,16462,"ML","MG","BLUE",1490
919229153,2023-07-15,16472,"LU","MERCEDES-BENZ","WHITE",1332
1067672868,2023-10-14,16473,"SN","KIA","SILVER",1086
877093395,2023-03-27,16512,"SK","FORD","GREY",998
1402477597,2023-06-08,16513,"CB","TOYOTA","ORANGE",1987
656316395,2023-10-26,16659,"TF","TOYOTA","WHITE",1798
521555333,2023-07-27,16697,"NW","LAND ROVER","GREY",1997
647889449,2023-09-11,16708,"RG","BMW","WHITE",1995
937767991,2023-09-04,16709,"LN","KYMCO","RED",49
204098909,2023-01-03,16734,"SO","AUDI","BLUE",1984
454933164,2023-08-25,16760,"BH","MAZDA","SILVER",1839
359108607,2023-06-08,16822,"BR","FORD","SILVER",998
1429191513,2023-10-23,16866,"GL","RENAULT","BLUE",1333
1415552243,2023-01-27,17000,"GL","NISSAN","GREY",1332
1051765815,2023-02-18,17139,"IV","MINI","BLUE",1499
161198353,2023-01-27,17145,"EN","KIA","RED",998
1091398723,2023-07-25,17193,"SS","MERCEDES-BENZ","GREY",1332
1243852241,2023-01-21,17213,"NG","FORD","BLUE",1197
